なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
こ	名詞,一般,*,*,*,*,こ,コ,コ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
辞め	動詞,自立,*,*,一段,連用形,辞める,ヤメ,ヤメ
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ
他	名詞,非自立,副詞可能,*,*,*,他,ホカ,ホカ
荒らさ	動詞,自立,*,*,五段・サ行,未然形,荒らす,アラサ,アラサ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
ずっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ずる,ズッ,ズッ
っ	動詞,非自立,*,*,五段・カ行促音便,連用タ接続,く,ッ,ッ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド
休止	名詞,サ変接続,*,*,*,*,休止,キュウシ,キューシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
き	動詞,自立,*,*,カ変・クル,連用形,くる,キ,キ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
ターゲット	名詞,一般,*,*,*,*,ターゲット,ターゲット,ターゲット
の	助詞,連体化,*,*,*,*,の,ノ,ノ
話題	名詞,一般,*,*,*,*,話題,ワダイ,ワダイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
で	動詞,自立,*,*,一段,連用形,でる,デ,デ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド
荒らさ	動詞,自立,*,*,五段・サ行,未然形,荒らす,アラサ,アラサ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	動詞,非自立,*,*,一段,未然形,てる,テ,テ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
たつ	動詞,自立,*,*,五段・タ行,基本形,たつ,タツ,タツ
こ	名詞,一般,*,*,*,*,こ,コ,コ
「	記号,括弧開,*,*,*,*,「,「,「
でも	接続詞,*,*,*,*,*,でも,デモ,デモ
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ
別に	副詞,一般,*,*,*,*,別に,ベツニ,ベツニ
ココ	名詞,固有名詞,一般,*,*,*,COCO,ココ,ココ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ダメージ	名詞,一般,*,*,*,*,ダメージ,ダメージ,ダメージ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
しげれ	動詞,自立,*,*,五段・ラ行,仮定形,しげる,シゲレ,シゲレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
EOS
